Record.type,Ring,Species,Age,Sex,Grid,Site,Net,Day,Month,Year
R,  4A1513,WREN,4,,I+4,5,9,22,1,1978
R, KP25174,BULLF,5,F,G+4,5,3,22,1,1978
R, KJ20757,DUNNO,6,,H+4,5,7,22,1,1978
R,  4A1579,GOLDC,4,F,H+4,5,6,22,1,1978
R,  4A1590,GOLDC,4,M,H+4,5,6,22,1,1978
N, NX27251,REDWI,5,,H+4,5,5,22,1,1978
R, JS74962,WILTI,4,,I+4,5,9,22,1,1978
R, JX44023,WILTI,4,,I+4,5,10,22,1,1978
N,  4A1676,WREN,5,,G+4,5,2,15,4,1978
R, XB00948,BLABI,6,M,H+4,5,6,15,4,1978
N, KP25613,CHAFF,4,M,I+4,5,9,15,4,1978
N, KP25617,CHAFF,4,F,I+4,5,9,15,4,1978
N, KP25612,DUNNO,4,,F+4,5,1,15,4,1978
R, KP25231,GRETI,5,F,G+4,5,4,15,4,1978
R, KJ20291,REDPO,4,M,I+4,5,10,15,4,1978
N, KP25615,REEBU,4,F,I+4,5,10,15,4,1978
N, KP25616,ROBIN,4,F,I+4,5,9,15,4,1978
N,813340,WREN,4,F,G+4,5,4,16,7,1978
N,813341,WREN,5,F,H+4,5,6,16,7,1978
N,813342,WREN,4,F,H+4,5,5,16,7,1978
N,813343,WREN,3,,G+4,5,4,16,7,1978
N,813348,WREN,5,,H+4,5,5,16,7,1978
N,813354,WREN,3,,H+4,5,6,16,7,1978
N,813356,WREN,3,,G+4,5,3,16,7,1978
N, XC44061,BLABI,3J,F,H+4,5,8,16,7,1978
N, KP25849,BLACA,3J,,G+4,5,4,16,7,1978
N, KP25851,BLACA,3J,,H+4,5,5,16,7,1978
N, KP25860,BLACA,4,F,F+4,5,1,16,7,1978
N, KP25866,BLACA,3J,M,G+4,5,4,16,7,1978
N, KP25873,BLACA,3J,,G+4,5,4,16,7,1978
N, KP25883,BLACA,3J,,H+4,5,5,16,7,1978
N, KP25886,BLACA,3,M,H+4,5,5,16,7,1978
N, KP25894,BLACA,3J,,H+4,5,6,16,7,1978
N, KP25852,BLUTI,3J,,G+4,5,3,16,7,1978
N, KP25853,BLUTI,3J,,G+4,5,3,16,7,1978
N, KP25854,BLUTI,3J,,G+4,5,4,16,7,1978
N, KP25862,BLUTI,3J,,G+4,5,2,16,7,1978
N, KP25863,BLUTI,3J,,G+4,5,4,16,7,1978
N, KP25874,BLUTI,3J,,I+4,5,10,16,7,1978
N, KP25879,BLUTI,3J,,H+4,5,5,16,7,1978
N, KP25882,BLUTI,3J,,H+4,5,5,16,7,1978
N, KP25885,BLUTI,3J,,H+4,5,5,16,7,1978
N, KP25887,BLUTI,3J,,H+4,5,6,16,7,1978
N, KP25889,BLUTI,3J,,H+4,5,6,16,7,1978
N, KP25890,BLUTI,3J,,H+4,5,6,16,7,1978
N, KP25855,BULLF,3J,,G+4,5,4,16,7,1978
N, KP25869,BULLF,3J,,H+4,5,5,16,7,1978
N, KP25877,CHAFF,4,F,H+4,5,5,16,7,1978
R, KP25746,DUNNO,3J,,H+4,5,5,16,7,1978
N, KP25856,DUNNO,3J,,G+4,5,4,16,7,1978
N, KP25858,DUNNO,3J,,H+4,5,5,16,7,1978
N, KP25859,DUNNO,3J,,H+4,5,5,16,7,1978
N, KP25878,DUNNO,3J,,H+4,5,5,16,7,1978
N, KP25888,DUNNO,3J,,H+4,5,6,16,7,1978
R, KP25599,GARWA,4,F,H+4,5,7,16,7,1978
N, KP25857,GARWA,3J,,G+4,5,4,16,7,1978
N, KP25892,GARWA,4,F,H+4,5,7,16,7,1978
