Record.type,Ring,Species,Age,Sex,Grid,Site,Net,Day,Month,Year
N,  4A1629,WREN,5,,D+3,2,5,8,1,1978
R, XB00928,BLABI,5,F,D+3,2,7,8,1,1978
N, XB00942,BLABI,5,M,D+3,2,7,8,1,1978
N, XB00943,BLABI,5,F,D+3,2,6,8,1,1978
R, JX44297,BLUTI,6,,B+3,2,1,8,1,1978
R, JX44719,BLUTI,6,,E+4,2,9,8,1,1978
N, KP25507,BULLF,5,F,C+3,2,3,8,1,1978
N, KP25506,CHAFF,5,M,B+3,2,1,8,1,1978
R, KP25376,COATI,4,,C+3,2,3,8,1,1978
R, KP25383,COATI,4,,C+3,2,2,8,1,1978
R,  4A1615,GOLDC,4,M,B+3,2,1,8,1,1978
R,72719,LOTTI,4,,C+3,2,2,8,1,1978
R,  4A1517,LOTTI,4,,C+3,2,4,8,1,1978
R,  4A1603,LOTTI,4,,C+3,2,2,8,1,1978
R,979406,LOTTI,4,,B+3,2,1,8,1,1978
R, KJ20039,MARTI,4,,D+3,2,6,8,1,1978
N, XB00944,REDWI,6,,D+3,2,5,8,1,1978
N, XB00945,REDWI,6,,C+3,2,4,8,1,1978
N, XB00946,REDWI,6,,D+3,2,6,8,1,1978
R, KP25386,ROBIN,5,,E+4,2,10,8,1,1978
R, KP25398,ROBIN,5,,D+3,2,7,8,1,1978
R,72527,TREEC,4,,B+3,2,1,8,1,1978
R,72611,TREEC,4,,C+3,2,3,8,1,1978
R,72668,WREN,6,,D+3,2,5,16,4,1978
R, KP25524,BLUTI,5,,D+3,2,6,16,4,1978
N, KP25555,BLUTI,6,,D+3,2,6,16,4,1978
N, KP25559,BLUTI,5,,D+3,2,6,16,4,1978
N,  4A1643,CHIFF,4,,D+3,2,5,16,4,1978
R, KJ20825,DUNNO,6,,C+3,2,2,16,4,1978
R, KP25525,DUNNO,5,,E+4,2,9,16,4,1978
N, KP25557,DUNNO,5,,D+3,2,7,16,4,1978
N, KP25560,DUNNO,4,,D+3,2,5,16,4,1978
N, KP25561,DUNNO,6,,D+3,2,5,16,4,1978
N, KP25556,GRETI,4,M,C+3,2,2,16,4,1978
R, KP25614,GRETI,6,M,D+3,2,5,16,4,1978
C, KX31622,GRETI,5,F,C+3,2,4,16,4,1978
R, JN84081,ROBIN,6,,D+3,2,5,16,4,1978
R, KP25090,ROBIN,5,,D+4,2,8,16,4,1978
N, KP25558,ROBIN,4,,C+3,2,3,16,4,1978
R, NX07464,SONTH,5,,B+3,2,1,16,4,1978
N, NX27259,SONTH,4,,D+4,2,8,16,4,1978
R,72690,TREEC,4,,B+3,2,1,16,4,1978
N,  4A1644,TREEC,4,,D+3,2,6,16,4,1978
N, DS75953,JAY,5,M,E+4,2,10,3,6,1978
R, XB00621,BLABI,6,F,D+3,2,7,3,6,1978
N, XB01000,BLABI,5,M,D+3,2,7,3,6,1978
N, XC44101,BLABI,6,F,E+4,2,9,3,6,1978
N, XC44103,BLABI,3J,,D+3,2,6,3,6,1978
R, KP25317,BLACA,4,M,D+3,2,5,3,6,1978
N, KP25702,BLACA,4,F,C+3,2,2,3,6,1978
R, KP25374,BLUTI,5,F,B+3,2,1,3,6,1978
N, KP25710,BLUTI,6,F,D+3,2,7,3,6,1978
R, JX44295,BULLF,6,M,B+3,2,1,3,6,1978
N, KP25707,BULLF,6,M,C+3,2,3,3,6,1978
N, KP25712,BULLF,6,F,E+4,2,9,3,6,1978
R, KJ20893,CHAFF,6,M,B+3,2,1,3,6,1978
R, KJ20927,CHAFF,6,M,E+4,2,10,3,6,1978
R, KP25591,CHAFF,5,F,E+4,2,10,3,6,1978
R, JX44152,DUNNO,4,M,E+4,2,10,3,6,1978
R, JX44220,DUNNO,4,M,C+3,2,4,3,6,1978
R, KJ20445,DUNNO,4,F,D+3,2,5,3,6,1978
R, KP25204,DUNNO,4,M,E+4,2,10,3,6,1978
R, XB00709,GRSWO,4,F,C+3,2,4,3,6,1978
N, XC44102,GRSWO,4,F,B+3,2,1,3,6,1978
N, BR79422,HOUSP,4,F,B+3,2,1,3,6,1978
N, KP25713,LESWH,5,,C+3,2,4,3,6,1978
R, KP25002,ROBIN,4,M,C+3,2,4,3,6,1978
R, KP25399,ROBIN,4,M,E+4,2,9,3,6,1978
R, KP25592,ROBIN,3J,,D+4,2,8,3,6,1978
N, KP25701,ROBIN,3J,,C+3,2,3,3,6,1978
N, KP25716,ROBIN,3J,,B+3,2,1,3,6,1978
N, KP25800,ROBIN,3J,,B+3,2,1,3,6,1978
