Record type,Ring,Species,Age,Sex,Grid,Site,Net,Day,Month,Year
N, XB00947,BLABI,5,F,M+0,4,1,15,1,1978
N, XB00948,BLABI,6,M,L+1,4,5,15,1,1978
N, XB00949,BLABI,5,F,L+1,4,6,15,1,1978
R, KJ20030,BLUTI,6,,K+0,4,8,15,1,1978
R, KP25183,BLUTI,5,,K+0,4,10,15,1,1978
R, KP25174,BULLF,5,F,M+0,4,2,15,1,1978
R, KP25330,BULLF,5,M,L+0,4,3,15,1,1978
R, KP25333,BULLF,5,M,M+0,4,2,15,1,1978
R, KJ20837,CHAFF,6,M,L+0,4,4,15,1,1978
R, KJ20701,COATI,4,,K+0,4,7,15,1,1978
R, KJ20832,DUNNO,4,,M+0,4,1,15,1,1978
R, KP25363,DUNNO,4,,K+0,4,9,15,1,1978
N, KP25508,DUNNO,6,,M+0,4,2,15,1,1978
N, KP25509,DUNNO,5,,K+0,4,8,15,1,1978
N, KP25510,DUNNO,5,,K+0,4,9,15,1,1978
N, KP25511,DUNNO,5,,M+0,4,2,15,1,1978
N, KP25512,DUNNO,5,,K+0,4,7,15,1,1978
N, KP25513,DUNNO,6,,K+0,4,8,15,1,1978
N, KP25514,DUNNO,5,,K+0,4,7,15,1,1978
R, KJ20039,MARTI,4,,K+0,4,7,15,1,1978
R, KJ20405,ROBIN,6,,K+0,4,7,15,1,1978
R, KJ20690,ROBIN,4,,L+0,4,4,15,1,1978
R, KP25258,ROBIN,4,,K+0,4,9,15,1,1978
R,72527,TREEC,4,,K+0,4,8,15,1,1978
R,  4A1581,WREN,5,,K+0,4,7,2,4,1978
R,  4A1636,WREN,5,,K+0,4,9,2,4,1978
N,  4A1640,WREN,5,,K+0,4,10,2,4,1978
R, JS11801,BLUTI,6,,K+0,4,7,2,4,1978
N, KP25553,BLUTI,5,,K+0,4,7,2,4,1978
C, KS42059,BLUTI,6,,K+0,4,7,2,4,1978
N, KP25546,BULLF,5,M,K+0,4,7,2,4,1978
N, KP25547,BULLF,5,F,K+0,4,7,2,4,1978
R, KJ20833,CHAFF,6,F,K+0,4,9,2,4,1978
N, KP25549,DUNNO,5,,L+1,4,5,2,4,1978
N, KP25550,DUNNO,5,F,L+1,4,6,2,4,1978
N, KP25551,DUNNO,5,,L+1,4,6,2,4,1978
R, KP25435,GRETI,5,F,K+0,4,10,2,4,1978
R,  4A1517,LOTTI,4,,K+0,4,9,2,4,1978
R,  4A1662,LOTTI,4,,K+0,4,9,2,4,1978
R, KJ20898,ROBIN,4,,K+0,4,7,2,4,1978
N, KP25545,ROBIN,4,,K+0,4,9,2,4,1978
N, KP25552,ROBIN,5,,K+0,4,10,2,4,1978
R, NX07468,SONTH,4,,K+0,4,7,2,4,1978
N, NX27254,SONTH,4,,K+0,4,9,2,4,1978
N, NX27256,SONTH,4,,L+0,4,4,2,4,1978
N, NX27257,SONTH,4,,L+0,4,4,2,4,1978
R,  4A1523,TREEC,4,,K+0,4,8,2,4,1978
N,813357,WREN,3J,,L+1,4,5,29,7,1978
N,813358,WREN,3J,,L+0,4,4,29,7,1978
