Record type,Ring,Species,Age,Sex,Grid,Site,Net,Day,Month,Year
R,  4A1545,WREN,4,,D+9,1,1,5,2,1978
R, XB00862,BLABI,6,M,D+9,1,2,5,2,1978
R, XB00971,BLABI,6,M,D+9,1,1,5,2,1978
N, XB00984,BLABI,5,F,D+8,1,6,5,2,1978
R, JN07274,BLUTI,6,,D+8,1,6,5,2,1978
R, JX44806,BULLF,6,M,D+8,1,4,5,2,1978
R, JX44826,BULLF,6,F,D+9,1,1,5,2,1978
R, KP25496,COATI,4,,D+9,1,1,5,2,1978
R, KJ20683,DUNNO,6,,D+9,1,1,5,2,1978
R, KP25408,DUNNO,5,,D+9,1,1,5,2,1978
N, KP25428,DUNNO,5,,D+8,1,4,5,2,1978
N,  4A1661,GOLDC,4,M,D+8,1,6,5,2,1978
R,72591,LOTTI,4,,D+8,1,6,5,2,1978
R,848165,LOTTI,4,,D+8,1,4,5,2,1978
R, JS11826,ROBIN,4,,D+8,1,3,5,2,1978
R, KJ20136,ROBIN,6,,D+9,1,2,5,2,1978
R, KP25175,ROBIN,5,,D+9,1,2,5,2,1978
R, KP25309,ROBIN,4,,D+7,1,10,5,2,1978
R, KP25322,ROBIN,5,,D+9,1,1,5,2,1978
R, KP25410,ROBIN,5,,D+8,1,5,5,2,1978
N, KP25427,ROBIN,5,,D+9,1,1,5,2,1978
N, KP25429,ROBIN,4,,D+9,1,2,5,2,1978
R, KP25473,ROBIN,4,,D+7,1,10,5,2,1978
R, CH19325,SONTH,4,,D+7,1,10,5,2,1978
R,979537,TREEC,4,,D+8,1,5,5,2,1978
R,72679,WREN,6,,D+9,1,1,7,5,1978
R, CH17247,BLABI,6,M,D+9,1,2,7,5,1978
R, XB00818,BLABI,5,M,D+9,1,2,7,5,1978
R, XB00834,BLABI,5,F,D+8,1,6,7,5,1978
R, XB00900,BLABI,5,M,D+7,1,8,7,5,1978
R, XB00904,BLABI,5,F,D+8,1,6,7,5,1978
N, XC44019,BLABI,5,,D+8,1,4,7,5,1978
N, XC44020,BLABI,5,M,D+8,1,3,7,5,1978
N, XC44021,BLABI,5,M,D+8,1,4,7,5,1978
N, XC44022,BLABI,6,F,D+8,1,4,7,5,1978
R, JX44378,BLACA,4,M,D+7,1,10,7,5,1978
R, KJ20915,BLACA,4,M,D+7,1,8,7,5,1978
N, KP25575,BLACA,4,M,D+9,1,2,7,5,1978
N, KP25577,BLACA,4,M,D+8,1,5,7,5,1978
N, KP25579,BLACA,5,M,D+8,1,4,7,5,1978
N, KP25581,BLACA,4,F,D+7,1,7,7,5,1978
N, KP25582,BLACA,4,M,D+8,1,4,7,5,1978
N, KP25583,BLACA,4,F,D+7,1,10,7,5,1978
R, JN07737,BLUTI,6,M,D+8,1,3,7,5,1978
R, KP25257,BLUTI,5,,D+9,1,1,7,5,1978
R, KP25573,BLUTI,5,,D+7,1,10,7,5,1978
R, KP25332,BULLF,5,F,D+8,1,3,7,5,1978
N, KP25578,BULLF,5,M,D+8,1,3,7,5,1978
R,  4A1643,CHIFF,4,M,D+7,1,10,7,5,1978
R, KP25228,COATI,4,F,D+9,1,1,7,5,1978
R, JX44208,DUNNO,6,M,D+8,1,4,7,5,1978
R, KJ20817,DUNNO,4,,D+7,1,9,7,5,1978
R,72627,LOTTI,4,F,D+8,1,4,7,5,1978
R,590587,LOTTI,4,,D+9,1,2,7,5,1978
R,848165,LOTTI,4,,D+8,1,4,7,5,1978
R,979406,LOTTI,4,F,D+9,1,2,7,5,1978
R,979529,LOTTI,4,,D+8,1,4,7,5,1978
N, KP25576,REDPO,4,,D+9,1,2,7,5,1978
R, JS11845,ROBIN,6,M,D+7,1,10,7,5,1978
R, KP25548,ROBIN,4,,D+7,1,10,7,5,1978
N, NX27263,SONTH,5,F,D+7,1,10,7,5,1978
N,813321,WREN,6,F,D+8,1,4,18,6,1978
N,813325,WREN,6,,D+9,1,2,18,6,1978
R, XC44046,BLABI,3J,,D+8,1,6,18,6,1978
N, XC44054,BLABI,3J,,D+8,1,4,18,6,1978
N, XC44055,BLABI,3J,,D+9,1,1,18,6,1978
N, XC44056,BLABI,3J,,D+7,1,7,18,6,1978
R, KJ20915,BLACA,4,M,D+7,1,8,18,6,1978
R, KP25582,BLACA,4,M,D+7,1,7,18,6,1978
N, KP25698,BLACA,4,F,D+8,1,3,18,6,1978
R, KJ20592,BLUTI,6,,D+7,1,7,18,6,1978
N, KP25688,BLUTI,3J,,D+9,1,1,18,6,1978
N, KP25689,BLUTI,3J,,D+9,1,1,18,6,1978
N, KP25690,BLUTI,3J,,D+9,1,1,18,6,1978
N, KP25691,BLUTI,3J,,D+9,1,1,18,6,1978
N, KP25692,BLUTI,3J,,D+9,1,1,18,6,1978
N, KP25693,BLUTI,3J,,D+9,1,1,18,6,1978
N, KP25700,BLUTI,3J,,D+7,1,9,18,6,1978
N, KP25801,BLUTI,6,F,D+7,1,9,18,6,1978
N, KP25806,BLUTI,3J,,D+8,1,3,18,6,1978
