Record type,Ring,Species,Age,Sex,Grid,Site,Net,Day,Month,Year
R, XB00977,BLABI,6,F,N+2,7,10,18,3,1978
R, XB00978,BLABI,6,F,N-1,7,2,18,3,1978
N, XB00986,BLABI,5,M,N+0,7,3,18,3,1978
N, XB00987,BLABI,4,F,N+0,7,3,18,3,1978
N, XB00988,BLABI,5,F,N+0,7,3,18,3,1978
R, KJ20828,BULLF,6,M,N-1,7,2,18,3,1978
R, KP25333,BULLF,5,M,N+0,7,4,18,3,1978
N, KP25438,BULLF,6,F,N-1,7,2,18,3,1978
R, KP25502,BULLF,5,F,N+0,7,5,18,3,1978
R, JP13279,DUNNO,4,,N+0,7,3,18,3,1978
R, JX44240,DUNNO,4,,N+2,7,10,18,3,1978
R, JX44323,DUNNO,4,,N+1,7,9,18,3,1978
R, KJ20554,DUNNO,4,,N+1,7,9,18,3,1978
R, KJ20829,DUNNO,4,,N-1,7,2,18,3,1978
R,  4A1534,GOLDC,4,F,N+2,7,10,18,3,1978
N, KP25435,GRETI,5,F,N-1,7,1,18,3,1978
N, KP25434,ROBIN,5,,N+0,7,5,18,3,1978
N, KP25436,ROBIN,5,,N+1,7,8,18,3,1978
N, KP25437,ROBIN,5,,N+1,7,8,18,3,1978
R, KP25046,WILTI,4,,N-1,7,1,18,3,1978
R,  4A1641,WREN,5,,N-1,7,1,23,4,1978
N,  4A1645,WREN,6,,N-1,7,1,23,4,1978
N,  4A1646,WREN,6,,N-1,7,1,23,4,1978
N,  4A1647,WREN,6,,N-1,7,1,23,4,1978
N,  4A1648,WREN,5,,N+0,7,5,23,4,1978
N,  4A1649,WREN,4,,N+0,7,6,23,4,1978
R, CJ04827,BLABI,6,M,N+1,7,8,23,4,1978
N, XC44010,BLABI,6,F,N+1,7,8,23,4,1978
N, KP25565,BLUTI,6,,N-1,7,1,23,4,1978
N, KP25568,BLUTI,5,,N+0,7,3,23,4,1978
R, KJ20854,BULLF,6,F,N+0,7,3,23,4,1978
R, KP25546,BULLF,5,M,N+1,7,8,23,4,1978
R, KP25448,CHAFF,4,F,N-1,7,2,23,4,1978
N, KP25564,CHAFF,5,M,N+1,7,8,23,4,1978
R, JP13279,DUNNO,6,,N-1,7,2,23,4,1978
R, KJ20829,DUNNO,6,,N-1,7,1,23,4,1978
N, KP25563,DUNNO,4,,N-1,7,2,23,4,1978
R,  4A1552,LOTTI,4,,N+0,7,3,23,4,1978
N, KP25566,ROBIN,6,,N-1,7,1,23,4,1978
N, KP25567,ROBIN,5,,N-1,7,1,23,4,1978
N, KP25569,ROBIN,5,,N+2,7,10,23,4,1978
R, NX27255,SONTH,4,,N-1,7,2,23,4,1978
N, NX27260,SONTH,5,,N+1,7,8,23,4,1978
N, NX27261,SONTH,4,,N-1,7,1,23,4,1978
N, KP25562,WILTI,4,,N-1,7,2,23,4,1978
R,  4A1648,WREN,4,,N+1,7,8,10,8,1978
N,  4A1731,WREN,6,F,N+1,7,9,10,8,1978
N,  4A1733,WREN,3J,,N+1,7,9,10,8,1978
R, KP25742,BLACA,5,M,N-1,7,1,10,8,1978
R, KP25869,BULLF,3J,,N-1,7,1,10,8,1978
N, KR03034,ROBIN,3,,N-1,7,1,10,8,1978
N, KR03037,ROBIN,3,,N+1,7,8,10,8,1978
N, KR03038,ROBIN,3J,,N+1,7,9,10,8,1978
N, KR03039,SPOFL,3J,,N+2,7,10,10,8,1978
R, KP25562,WILTI,4,,N-1,7,2,10,8,1978
N, FS55212,WOODP,4,,N+1,7,8,10,8,1978
