Record type,Ring,Species,Age,Sex,Grid,Site,Net,Day,Month,Year
N,  4A1630,WREN,5,,N+6,6,6,26,2,1978
N,  4A1631,WREN,5,,M+7,6,1,26,2,1978
N, XB00950,BLABI,5,F,N+7,6,4,26,2,1978
N, XC44001,BLABI,5,M,N+7,6,3,26,2,1978
N, XC44002,BLABI,6,F,N+7,6,2,26,2,1978
R, JS11802,BLUTI,6,,N+7,6,4,26,2,1978
R, KJ20595,BLUTI,6,,N+7,6,4,26,2,1978
N, KP25518,BLUTI,5,,N+6,6,6,26,2,1978
R, KP25286,BULLF,5,F,M+7,6,1,26,2,1978
R, KP25402,BULLF,5,F,N+7,6,3,26,2,1978
R, KP25406,BULLF,6,F,O+6,6,7,26,2,1978
N, KP25516,CHAFF,5,M,O+5,6,10,26,2,1978
R, KJ20699,DUNNO,6,,N+6,6,6,26,2,1978
R, KJ20777,DUNNO,6,,N+6,6,5,26,2,1978
R, KP25401,DUNNO,5,,N+7,6,4,26,2,1978
N, KP25517,DUNNO,4,,O+6,6,9,26,2,1978
R,  4A1655,GOLDC,4,M,N+7,6,4,26,2,1978
R,  4A1659,GOLDC,4,M,O+6,6,7,26,2,1978
R, KP25295,GRETI,5,F,N+6,6,5,26,2,1978
N, KP25521,GRETI,5,F,O+6,6,7,26,2,1978
R,  4A1603,LOTTI,4,,M+7,6,1,26,2,1978
N, KP25520,ROBIN,4,,N+7,6,2,26,2,1978
R, NX07454,SONTH,4,,O+6,6,9,26,2,1978
R,  4A1523,TREEC,4,,N+6,6,5,26,2,1978
R, JX44542,WILTI,4,,N+6,6,6,26,2,1978
R, KJ20953,WILTI,4,,N+6,6,6,26,2,1978
R,  4A1631,WREN,5,,N+7,6,4,9,4,1978
R, XB00717,BLABI,6,M,M+7,6,1,9,4,1978
N, XB00990,BLABI,5,M,N+7,6,4,9,4,1978
R, KJ20595,BLUTI,6,,O+6,6,8,9,4,1978
N, KP25611,BLUTI,6,,O+6,6,8,9,4,1978
N, KP25606,CHAFF,5,M,O+5,6,10,9,4,1978
N, KP25608,CHAFF,4,F,N+7,6,4,9,4,1978
R, JS11843,DUNNO,6,,N+6,6,6,9,4,1978
R, KJ20699,DUNNO,6,,N+6,6,5,9,4,1978
R, KJ20744,DUNNO,6,,O+5,6,10,9,4,1978
R, KJ20777,DUNNO,6,,N+6,6,6,9,4,1978
R, KJ20779,DUNNO,6,,O+5,6,10,9,4,1978
R, KP25401,DUNNO,5,,N+7,6,2,9,4,1978
N, KP25450,DUNNO,4,F,N+7,6,2,9,4,1978
R, KP25517,DUNNO,5,,O+6,6,7,9,4,1978
N, KP25604,DUNNO,4,F,N+7,6,2,9,4,1978
R,72719,LOTTI,4,,N+6,6,6,9,4,1978
R,  4A1571,LOTTI,4,,N+6,6,6,9,4,1978
R, KP25520,ROBIN,4,,M+7,6,1,9,4,1978
N, KP25601,ROBIN,5,,O+6,6,8,9,4,1978
N, KP25602,ROBIN,4,,M+7,6,1,9,4,1978
N, KP25603,ROBIN,4,,N+7,6,2,9,4,1978
N, XB00991,STARL,4,M,N+7,6,4,9,4,1978
N, KP25605,WILTI,4,,N+7,6,2,9,4,1978
N,813335,WREN,5,F,N+7,6,3,25,6,1978
N,813336,WREN,5,,N+7,6,3,25,6,1978
N,813338,WREN,4,,O+6,6,8,25,6,1978
N, XC44058,BLABI,5,M,N+6,6,5,25,6,1978
N, XC44059,BLABI,6,M,O+6,6,8,25,6,1978
N, XC44060,BLABI,3J,,O+6,6,9,25,6,1978
R, KP25104,BLACA,4,M,O+5,6,10,25,6,1978
N, KP25823,BLUTI,3J,,O+6,6,8,25,6,1978
N, KP25824,BLUTI,3J,,O+6,6,8,25,6,1978
N, KP25825,BLUTI,3J,,O+6,6,8,25,6,1978
N, KP25826,BLUTI,3J,,O+6,6,8,25,6,1978
N, KP25829,BLUTI,3J,,O+6,6,8,25,6,1978
N, KP25830,BLUTI,3J,,O+6,6,8,25,6,1978
N, KP25831,BLUTI,3J,,O+6,6,8,25,6,1978
N, KP25832,BLUTI,3J,,O+6,6,8,25,6,1978
R, KP25792,BULLF,5,M,O+6,6,7,25,6,1978
R, KP25795,BULLF,5,F,O+6,6,7,25,6,1978
N, KP25837,BULLF,5,M,N+7,6,4,25,6,1978
R, KP25794,CHAFF,6,M,N+6,6,6,25,6,1978
N, KP25843,CHAFF,5,M,N+7,6,4,25,6,1978
R, KJ20777,DUNNO,4,,O+6,6,7,25,6,1978
R, KJ20812,DUNNO,4,F,M+7,6,1,25,6,1978
R, KP25517,DUNNO,4,F,O+6,6,9,25,6,1978
N, KP25833,DUNNO,3J,,N+7,6,3,25,6,1978
N, KP25834,DUNNO,3J,,N+6,6,6,25,6,1978
N, KP25838,DUNNO,4,,O+5,6,10,25,6,1978
N, KP25846,DUNNO,3J,,N+6,6,6,25,6,1978
N, KP25822,GARWA,4,F,N+6,6,6,25,6,1978
N, KP25828,GARWA,4,F,M+7,6,1,25,6,1978
R, NA91091,HOUSP,4,M,O+6,6,7,25,6,1978
R, NA91093,HOUSP,4,F,O+6,6,9,25,6,1978
N, NA91192,HOUSP,4,F,O+5,6,10,25,6,1978
R, JV35275,ROBIN,4,,N+6,6,5,25,6,1978
R, KP25650,ROBIN,4,F,O+5,6,10,25,6,1978
N, KP25840,ROBIN,3J,,O+6,6,8,25,6,1978
