Record type,Ring,Species,Age,Sex,Grid,Site,Net,Day,Month,Year
R,979483,WREN,6,,R-2,3,1,14,1,1978
N, XB00977,BLABI,6,F,R-1,3,3,14,1,1978
N, XB00978,BLABI,4,F,R-1,3,3,14,1,1978
N, XB00979,BLABI,5,M,R+0,3,5,14,1,1978
N, XB00980,BLABI,5,M,R+0,3,5,14,1,1978
N, XB00981,BLABI,5,M,R+0,3,8,14,1,1978
N, XB00982,BLABI,5,F,R-1,3,3,14,1,1978
R, KP25183,BLUTI,5,,R-2,3,1,14,1,1978
N, KP25425,BULLF,4,,R+0,3,5,14,1,1978
N, KP25426,BULLF,5,F,R-1,3,4,14,1,1978
N, KP25424,DUNNO,5,,R-1,3,3,14,1,1978
R, KP25342,GRETI,5,F,R-1,3,3,14,1,1978
R,  4A1572,LOTTI,4,,R-1,3,3,14,1,1978
R, KJ20040,ROBIN,4,,R+0,3,5,14,1,1978
R, KP25071,WILTI,4,,R-1,3,4,14,1,1978
R,72640,WREN,6,,R-1,3,3,28,3,1978
N,  4A1668,WREN,4,,R-1,3,3,28,3,1978
N,  4A1669,WREN,4,,R+0,3,5,28,3,1978
N,  4A1671,WREN,6,,R+0,3,6,28,3,1978
N,  4A1673,WREN,6,,R+0,3,5,28,3,1978
R, XB00653,BLABI,6,F,R-2,3,1,28,3,1978
R, XB00829,BLABI,6,M,R-2,3,1,28,3,1978
N, XB00989,BLABI,6,M,Q+1,3,10,28,3,1978
N, KP25446,BLUTI,5,,Q+1,3,9,28,3,1978
N, KP25447,BLUTI,5,,Q+1,3,9,28,3,1978
R, KP25333,BULLF,5,M,R-1,3,2,28,3,1978
N, KP25448,CHAFF,4,F,R-1,3,4,28,3,1978
N,  4A1674,CHIFF,4,,R-1,3,4,28,3,1978
R, KJ20447,DUNNO,4,,R-1,3,3,28,3,1978
R, KJ20719,DUNNO,6,F,R+0,3,5,28,3,1978
R, KJ20725,DUNNO,4,,R-1,3,3,28,3,1978
R, KJ20774,DUNNO,4,,R+0,3,7,28,3,1978
R, KJ20976,DUNNO,6,,R-2,3,1,28,3,1978
R, KJ20986,DUNNO,6,F,R+0,3,5,28,3,1978
R, KP25039,DUNNO,4,,R+0,3,6,28,3,1978
R, KP25440,DUNNO,4,,R-1,3,3,28,3,1978
N, KP25443,DUNNO,5,,R-1,3,3,28,3,1978
N, KP25444,DUNNO,4,,R+0,3,5,28,3,1978
N,  4A1670,GOLDC,4,M,R-1,3,4,28,3,1978
N,  4A1672,GOLDC,4,M,R-1,3,2,28,3,1978
N, KP25449,GOLDF,5,M,R+0,3,6,28,3,1978
N, KP25445,GRETI,6,F,R-2,3,1,28,3,1978
R,72548,LOTTI,4,,R+0,3,6,28,3,1978
R,  4A1608,LOTTI,4,,R+0,3,6,28,3,1978
R, KJ20851,ROBIN,6,,R-2,3,1,28,3,1978
R, KP25008,ROBIN,4,,Q+1,3,9,28,3,1978
R, KP25047,ROBIN,4,,R+0,3,8,28,3,1978
R, NX07422,SONTH,4,,R-1,3,2,28,3,1978
