Year,Site,BLABI,BLACA,BLUTI,BRAMB,BULLF,BUZZA,CHAFF,CHIFF,COATI,DUNNO,GARWA,GOLDC,GOLDF,GREFI,GRETI,GREWO,GRSWO,HOUSP,JAY,KESTR,LESWH,LESWO,LOEOW,LOTTI,MAGPI,MARTI,MISTH,NUTHA,PIEWA,REDPO,REDWI,REEBU,ROBIN,SKYLA,SONTH,SPARR,SPOFL,STARL,STODO,TAWOW,TREEC,TREPI,TRESP,TURDO,WHITE,WILTI,WILWA,WOODC,WOODP,WREN,YELHA
1978,1,5.375,2.25,5,0,2.125,0,0.375,0.25,1,3.875,0.25,1.25,0,2.25,0.625,0,0,0,0.125,0,0,0,0,3.125,0,0,0,0,0,0.25,0,0,4.75,0,0.75,0,0,0,0,0,1,0,0.25,0,0,1.625,0.25,0,0.125,2.125,0
1979,1,5.375,1.25,3.125,0,2.375,0,0.75,0.25,0,4,0.25,0,0,1,1.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.25,0,3.75,0,0,0,0,0,0.25,0,1,0,0.25,0.875,0.5,0,0,1,0.25
1980,1,3,4.166666667,4,0,2.166666667,0,0.166666667,0.333333333,0,2.333333333,0.166666667,1.166666667,0,0,1.5,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,3,0,2.833333333,0,0.166666667,0,0,0,0.666666667,0,0.666666667,0,0,0.666666667,3.166666667,0,0,0.833333333,0
1981,1,2.25,1.375,7.125,0,1.25,0,0.125,0.25,1,1,0,3,0,0,1.25,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,3.375,0,1.125,0,0,0,0,0,0.625,0,0,0,0,0.625,1.875,0,0,2.375,0
1982,1,2.125,0.25,4.75,0,1.5,0,0,0,1,0.875,0,1.25,0,0,0.625,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,1.375,0,1.5,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.625,0
1983,1,1.833333333,1.5,3.166666667,0,4.666666667,0,0.166666667,0,0.333333333,0,0,0.5,0,0,1.666666667,0,0,0,0,0,0,0,0,1.833333333,0,0,0,0,0,0,0,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166666667,0.5,0,0.166666667,1.5,0
1984,1,3.25,1,3.75,0,2.625,0,0,0,0,0.875,0.25,1.375,0,0,1.125,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,2.5,0,1.25,0,0,0,0,0,0.5,0,0,0,0,0.25,0.75,0,0.25,2,0
1985,1,3.25,1.125,0.75,0,1.375,0,0.375,0.25,0.25,1.75,0,0.625,0,0.5,1.625,0,0,0,0,0,0,0,0,0.875,0,0.125,0,0.25,0,0,0.25,0,2.75,0,1.5,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0.125,0.5,0
1986,1,3.75,1.25,4.625,0,1.5,0,0.5,0.25,0.5,1,0.125,0.5,0,0,3.125,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.875,0,1.125,0,0.125,0,0,0,0.25,0,0,0,0,0.375,1.375,0,0.25,0.875,0
1987,1,1.25,0.375,4.375,0,1.75,0,0.25,0,0.25,0.625,0,0.75,0,0,2.375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.125,0,0.375,0,0,0,0,0,0.375,0,0,0,0,0.5,0.5,0,0,2.25,0
1988,1,1.625,0.5,2.875,0,0,0,0.25,0,0.875,1,0,2.125,0,0,1.875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.375,0,0.125,0.5,0,0,0,0,0.75,0,0,0,0,0.125,0,0,0,2.625,0
1989,1,0.625,0.75,4,0,1.75,0,0.5,0,0.625,0,0,1.625,0,0,1.625,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.625,0,0,0,0,1.125,0,0,0,2.75,0
1990,1,1.375,0.75,2.5,0,1.125,0,0,0,0.375,0.25,0,1.375,0,0,1.625,0,0,0,0,0,0,0,0,1.375,0,0.25,0,0,0,0,0,0,2.375,0,0.5,0.25,0,0,0,0,0.25,0,0,0,0,0.125,0,0,0,1.625,0
1991,1,1.25,1,2.5,0,1.75,0,0,0,0.375,0.25,0,0.5,0,0,0.625,0,0,0,0.125,0,0,0,0,0.625,0,0,0,0,0,0,0,0,1.5,0,0.25,0,0,0,0,0,0.625,0,0,0,0,0.25,0,0,0,0.875,0
1992,1,1.166666667,0.666666667,2.833333333,0,0.166666667,0,0,0,1.5,0,0,1.833333333,0,0,1.166666667,0,0,0,0,0,0,0,0,0.666666667,0,0.666666667,0,0,0,0,0,0,2.166666667,0,0.5,0,0,0,0,0,2,0,0,0,0,0.666666667,0,0,0,2,0
1993,1,1.375,0.25,2.625,0,0,0,0,0,1.25,0.25,0,1.625,0,0,0.875,0,0,0,0.125,0,0,0,0,1.125,0,0.125,0,0,0,0,0.25,0,1.75,0,0.25,0,0,0,0,0,0.75,0,0,0,0,0.125,0,0,0,1.125,0
1994,1,2.125,0.875,4.75,0,0.25,0,0.75,0,1.5,0.5,0,2,0,0,1.25,0,0,0,0,0,0,0,0,0.5,0,0.125,0,0,0,0,0,0,3.625,0,0.125,0,0,0,0,0,0.375,0,0,0,0,0.25,0,0,0,1.5,0
1995,1,2.125,0.375,3.625,0,0.25,0,0.5,0.5,0.25,0.25,0,1.25,0,0,0.5,0,0,0,0,0,0,0,0,2.75,0,0.625,0,0,0,0,0,0,3.125,0,0.5,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,2.75,0
1996,1,1.5,0.666666667,3.166666667,0,0.333333333,0,0.5,0.666666667,0.833333333,0.166666667,0,0,0,0,3.833333333,0,0,0,0,0,0,0,0,2.5,0,0.5,0,0,0,0,0,0,2.666666667,0,0.5,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,1.5,0
1997,1,1.125,1,4.375,0,0.875,0,0.625,0,0.375,0.5,0,0.625,0,0,0.75,0,0,0,0,0,0,0,0.125,0.75,0,0.5,0,0,0,0,0.5,0,0.875,0,0,0.125,0,0,0,0,1.375,0,0,0,0,0,0,0,0,1.25,0
1998,1,1.125,0.5,1.25,0,0.625,0,0,0,0,0.625,0,1.5,0,0,1.25,0,0,0,0,0,0,0,0,0.625,0,0.25,0,0,0,0,0,0,2,0,0.875,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.125,0.75,0
1999,1,1.5,0.5,2.5,0,0.5,0,0,0,0.5,0.125,0,2.5,0,0,3,0,0,0,0,0,0,0,0,3,0,0.625,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.125,0.75,0
