Year,Site,BLABI,BLACA,BLUTI,BRAMB,BULLF,BUZZA,CHAFF,CHIFF,COATI,DUNNO,GARWA,GOLDC,GOLDF,GREFI,GRETI,GREWO,GRSWO,HOUSP,JAY,KESTR,LESWH,LESWO,LOEOW,LOTTI,MAGPI,MARTI,MISTH,NUTHA,PIEWA,REDPO,REDWI,REEBU,ROBIN,SKYLA,SONTH,SPARR,SPOFL,STARL,STODO,TAWOW,TREEC,TREPI,TRESP,TURDO,WHITE,WILTI,WILWA,WOODC,WOODP,WREN,YELHA
1978,1,27,9,21,0,12,0,2,1,6,18,1,9,0,9,5,0,0,0,1,0,0,0,0,15,0,0,0,0,0,1,0,0,20,0,4,0,0,0,0,0,5,0,2,0,0,7,1,0,1,13,0
1979,1,26,5,14,0,12,0,4,1,0,19,1,0,0,4,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,1,0,5,0,1,4,2,0,0,4,1
1980,1,13,19,23,0,12,0,1,2,0,13,1,7,0,0,9,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,10,0,1,0,0,0,3,0,2,0,0,4,12,0,0,4,0
1981,1,11,10,40,0,7,0,1,1,4,6,0,12,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,18,0,6,0,0,0,0,0,3,0,0,0,0,3,9,0,0,14,0
1982,1,11,1,19,0,8,0,0,0,4,6,0,5,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,0
1983,1,10,9,18,0,18,0,1,0,1,0,0,2,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,9,0
1984,1,16,5,16,0,16,0,0,0,0,4,1,7,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,2,0,0,0,0,1,3,0,2,11,0
1985,1,15,5,3,0,6,0,2,1,1,7,0,4,0,2,7,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,1,0,12,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0
1986,1,20,7,19,0,6,0,2,1,2,5,1,2,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,7,0,1,0,0,0,1,0,0,0,0,2,6,0,2,4,0
1987,1,9,3,24,0,8,0,2,0,1,5,0,3,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,2,0,0,0,0,2,4,0,0,11,0
1988,1,9,2,13,0,0,0,1,0,4,5,0,14,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,1,2,0,0,0,0,4,0,0,0,0,1,0,0,0,13,0
1989,1,3,3,23,0,7,0,2,0,3,0,0,9,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,15,0
1990,1,7,3,12,0,6,0,0,0,3,1,0,11,0,0,7,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,10,0,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,8,0
1991,1,7,4,18,0,8,0,0,0,3,1,0,4,0,0,5,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,4,0
1992,1,7,4,15,0,1,0,0,0,6,0,0,10,0,0,6,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,10,0,3,0,0,0,0,0,7,0,0,0,0,2,0,0,0,9,0
1993,1,6,2,11,0,0,0,0,0,7,1,0,7,0,0,4,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,1,0,11,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,8,0
1994,1,11,5,20,0,2,0,3,0,6,4,0,8,0,0,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,21,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,9,0
1995,1,12,3,15,0,1,0,2,2,1,1,0,5,0,0,2,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,17,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0
1996,1,8,4,15,0,2,0,2,3,5,1,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,13,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0
1997,1,7,7,23,0,4,0,3,0,2,3,0,3,0,0,3,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,2,0,6,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0
1998,1,5,2,5,0,5,0,0,0,0,3,0,11,0,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,9,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0
1999,1,7,2,10,0,4,0,0,0,2,1,0,10,0,0,12,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0
2000,1,2,3,22,0,0,0,0,2,8,1,0,16,0,0,8,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,4,0,3,1,0,0,0,0,5,0,0,0,0,2,0,0,0,8,0
2001,1,3,1,3,0,0,0,1,0,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0
2002,1,5,3,13,0,1,0,7,1,4,1,0,7,0,0,6,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,7,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,1,9,0
2003,1,3,0,18,0,0,0,1,0,7,2,0,8,0,0,21,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,9,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0
2004,1,10,4,11,0,0,0,2,0,7,0,0,9,0,0,6,0,0,0,1,0,0,0,0,10,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,4,0
2005,1,12,4,11,0,4,0,5,0,3,1,0,9,0,0,13,0,0,0,2,0,0,0,0,15,0,1,0,0,0,0,0,0,6,0,1,0,2,0,0,1,5,0,0,0,0,0,0,0,0,9,0
2006,1,6,6,10,0,3,0,4,0,2,4,0,7,0,0,14,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0,8,0,2,1,2,0,0,0,4,0,0,0,0,1,0,0,1,9,0
2007,1,6,2,3,0,4,0,2,2,2,0,0,5,0,0,5,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,10,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,0
2008,1,12,1,9,0,1,0,5,1,1,2,0,6,0,0,7,0,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,11,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,10,0
2009,1,8,5,6,0,1,0,3,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,12,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0
2010,1,6,6,14,0,3,0,1,9,3,1,0,7,0,0,11,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,13,0
